success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
build0, attributed, Broad, Commerce, Search Click,  , , Fleet Lease, DART Search : Google,  , Previous Site Activity, 1139.35230912
testd00, last_event,  ,  , Impression, Smax, ,  , Mobile.de, Brand, Previous Site Activity, 23.0
testd00, attributed,  ,  , Impression, Fleet February, ,  , aumago.com, Retail, Previous Site Activity, 3.67946536193
testd00, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , mirando.de, Retail, Previous Site Activity, 4.0
build0, last_event,  ,  , Display Click, Retail January, ,  , motor-talk.de, Retail, Previous Site Activity, 76.0
build0, attributed,  ,  , Display Click, Gewerbewochen Marz, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 5.85294402267
build0, attributed,  ,  , Impression, UNKNOWN, ,  , Bauer Media, UNKNOWN, Previous Site Activity, 114.713178242
testd00, attributed,  ,  , Display Click, Smax, ,  , undertone.co.uk, Brand, Previous Site Activity, 1.11233733546
build0, attributed,  ,  , Display Click, Retail January, ,  , auto-service.de, Retail, Previous Site Activity, 76.5169631199
build0, last_event,  ,  , Impression, Smax, ,  , undertone.co.uk, Brand, Previous Site Activity, 413.0
testd00, last_event, Broad, Name Plate, Search Click,  , , Focus, DART Search : Google,  , Previous Site Activity, 48.0
build0, last_event,  ,  , Display Click, Retail January, ,  , autoplenum.de, Retail, Previous Site Activity, 90.0
build0, last_event, Exact, Commercial Vehicles, Search Click,  , , Transit, DART Search : Google,  , Previous Site Activity, 92.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , Xaxis Display, UNKNOWN, Previous Site Activity, 26.0
build0, attributed, Broad, Name Plate, Search Click,  , , Mondeo, DART Search : Google,  , Previous Site Activity, 997.167000211
testd00, last_event, Broad, Name Plate, Search Click,  , , Fiesta Retail, DART Search : Google,  , Previous Site Activity, 17.0
build0, last_event,  ,  , Impression, Smax, ,  , Mobile.de, Brand, Previous Site Activity, 945.0
build0, last_event,  ,  , Impression, Retail Dezember, ,  , SevenOne Media, Retail, Previous Site Activity, 1.0
build004, attributed,  ,  , Impression, Retail Sales, ,  , XaxisDE, Retail, Previous Site Activity, 1.52492434499
testd00, attributed,  ,  , Display Click, Smax, ,  , Mobile.de, Brand, Previous Site Activity, 2.44845844703
build004, attributed,  ,  , Display Click, Retail January, ,  , Light Reaction, Retail, Previous Site Activity, 2.18764207047
build0, attributed, Broad, Generic, Search Click,  , , 4x4, DART Search : Google,  , Previous Site Activity, 1.0
build0, last_event,  ,  , Display Click, Retail February, ,  , Light Reaction, Retail, Previous Site Activity, 6326.0
testd00, last_event,  ,  , Display Click, Smax, ,  , Esome, Brand, Previous Site Activity, 106.0
build0, attributed, Exact, Generic, Search Click,  , , Crossover, DART Search : Google,  , Previous Site Activity, 1.00000650038
build0, attributed, Exact, Generic, Search Click,  , , PKW, DART Search : Google,  , Previous Site Activity, 0.5
build0, last_event, Broad, Generic, Search Click,  , , PKW, DART Search : Google,  , Previous Site Activity, 11.0
build004, attributed,  ,  , Display Click, Kuga Sustain, ,  , XaxisDE, Brand, Previous Site Activity, 1.0000054572
build004, last_event,  ,  , Impression, Retail Marz, ,  , OMS DE, Retail, Previous Site Activity, 1.0
testd00, attributed, Exact, Name Plate, Search Click,  , , Edge, DART Search : Google,  , Previous Site Activity, 41.1671120375
testd00, last_event,  ,  , Impression, Smax, ,  , ForwardAdGroup, Brand, Previous Site Activity, 2.0
build004, last_event,  ,  , Impression, Retail Marz, ,  , SevenOne Media GmbH, Retail, Previous Site Activity, 7.0
build0, last_event,  ,  , Impression, Kuga Sustain, ,  , iq digital media marketing gmbh, Brand, Previous Site Activity, 600.0
build0, last_event,  ,  , Display Click, UNKNOWN, ,  , Media Impact DE, UNKNOWN, Previous Site Activity, 88.0
build004, attributed,  ,  , Impression, Retail Sales, ,  , AutoScout24 Media, Retail, Previous Site Activity, 4.34430713268
testd00, attributed,  ,  , Display Click, Kuga Sustain, ,  , iq digital media marketing gmbh, Brand, Previous Site Activity, 0.408723231222
testd00, last_event,  ,  , Impression, Gewerbewochen Marz, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 1.0
